Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Tann Dolay	3	Rohail Hyaat	"Noori,Zeb,Haniya"	" Jun 16, 2010"	46	"1,268"	"456,831 views"	https://www.youtube.com/watch?v=JJX_0uCwyDM	0.036277603
Bolo Bolo	3	Rohail Hyaat	Entity Paradigm	" Jun 16, 2010"	414	"6,376"	"1,277,799 views"	https://www.youtube.com/watch?v=saY_N-xQliE	0.064930991
Naina De Akhay	3	Rohail Hyaat	"Rizwan, Muazzam"	" Jun 16, 2010"	250	"8,061"	"1,877,191 views"	https://www.youtube.com/watch?v=C2SoRn4tzqc	0.031013522
Sultanat	3	Rohail Hyaat	Aunty Disco Project	" Jul 3, 2010"	24	476	"187,431 views"	https://www.youtube.com/watch?v=mt03MoMPvR4	0.050420168
Mori Araj Suno	3	Rohail Hyaat	Tina Sani	" Jul 3, 2010"	122	"5,465"	"1,278,688 views"	https://www.youtube.com/watch?v=l-sZOGBTgcs	0.022323879
Pritan	3	Rohail Hyaat	Sanam Marvi	" Jul 3, 2010"	104	"2,972"	"1,460,576 views"	https://www.youtube.com/watch?v=Z9bBGEFssWA	0.034993271
Nigah-e-Darwaishaan	3	Rohail Hyaat	Abida Parveen	" Jul 3, 2010"	112	"3,949"	"1,048,678 views"	https://www.youtube.com/watch?v=Bl5eZb4eudc	0.028361611
Chori Chori	3	Rohail Hyaat	Meesha Shafi	" Jul 3, 2010"	796	"20,826"	"6,064,677 views"	https://www.youtube.com/watch?v=RZ4k4035JdA	0.038221454
Hor Vi Neevan Ho	3	Rohail Hyaat	Noori	" Jul 14, 2010"	215	"8,696"	"2,110,354 views"	https://www.youtube.com/watch?v=qUcaCYx0kzI	0.024724011
Kaisay Mumkin	3	Rohail Hyaat	Karavan	" Jul 14, 2010"	20	"1,163"	"302,787 views"	https://www.youtube.com/watch?v=ldlLfd8RUCg	0.017196905
Nazaar Eyle	3	Rohail Hyaat	"Zeb, Haniya"	" Jul 14, 2010"	32	"1,651"	"344,807 views"	https://www.youtube.com/watch?v=yvLv2-A0mnc	0.019382193
Haq Maujood	3	Rohail Hyaat	"Amanat Ali, Sanam Marvi"	" Jul 14, 2010"	220	"5,956"	"1,619,523 views"	https://www.youtube.com/watch?v=eOpSiN66GTQ	0.036937542
Mirza Sahibaan	3	Rohail Hyaat	Arif Lohar	" Jul 14, 2010"	167	"2,912"	"966,678 views"	https://www.youtube.com/watch?v=1OmAJQyin_o	0.057348901
Ae Wattan Kay Sajeelay Jawanon	3	Rohail Hyaat	Amanat Ali	" Jul 31, 2010"	18	"1,107"	"183,651 views"	https://www.youtube.com/watch?v=VXQzzJZXcYc	0.016260163
Manzil-e-Sufi	3	Rohail Hyaat	Sanam Marvi	" Jul 31, 2010"	530	"10,638"	"3,651,122 views"	https://www.youtube.com/watch?v=lxFaUIxezkc	0.049821395
Nawal Ney	3	Rohail Hyaat	Tina Sani	" Jul 31, 2010"	55	"2,605"	"550,282 views"	https://www.youtube.com/watch?v=1yqD4rns_jY	0.021113244
Jana Jogi Dey Naal	3	Rohail Hyaat	"Rizwan, Muazzam"	" Jul 31, 2010"	133	"3,108"	"737,595 views"	https://www.youtube.com/watch?v=1Ds-09MGZUM	0.042792793
Soz-e-Ishq	3	Rohail Hyaat	Abida Parveen	" Jul 31, 2010"	122	"4,321"	"1,157,781 views"	https://www.youtube.com/watch?v=XaII05SfX9E	0.028234205
Deewana	1	Rohail Hyaat	Ali Azmat	" Dec 3, 2010"	13	409	"92,671 views"	https://www.youtube.com/watch?v=gZ8URPEm210	0.031784841
Gallan	1	Rohail Hyaat	Ali Azmat	" Dec 3, 2010"	10	105	"33,313 views"	https://www.youtube.com/watch?v=FaMIZmXx52s	0.095238095
