0.0,11903841
0.0,636569
0.0,8001392
0.0,1657598
1.0,1484013
0.0,159052
0.0,5343550
0.0,4501174
0.0,2849597
0.0,735703
0.0,1998386
0.6666666666666666,1463132
0.0,500577
0.0,4180916
0.0,2148014
0.0,349822
1.0,825034
0.0,4304465
0.0,1497580
0.0,1407429
0.0,446006
0.0,263224
0.0,175758
0.0,545963
0.0,190205
0.0,605642
0.6666666666666666,298759
0.0,465318
1.0,1734128
0.5,44375590
0.0,201996
1.0,6262250
0.0,963913
0.0,374942
0.6666666666666666,456831
0.0,1277799
0.0,1877191
0.0,187431
1.0,1278688
1.0,1460576
1.0,1048678
1.0,6064677
0.0,2110354
0.0,302787
1.0,344807
0.5,1619523
0.0,966678
0.0,183651
1.0,3651122
1.0,550282
0.0,737595
1.0,1157781
0.0,92671
0.0,33313
0.0,45196
0.0,361957
0.0,339512
0.0,174561
0.0,117501
0.0,138437
0.0,26044
0.0,34394
0.0,117239
0.0,6362234
0.0,313381
0.0,293305
1.0,46074
0.0,25819
0.0,419320
0.0,1153176
0.0,167984
0.0,666700
0.0,1537269
0.0,67348
0.0,5381740
0.0,2708483
0.0,371044
0.5,13484042
1.0,360743
0.0,912192
0.5,328070
0.0,4741644
0.0,3085498
0.0,3173347
0.0,147248
1.0,441928
0.5,3395128
0.0,842304
0.0,1114230
0.5,593297
0.0,8763489
0.0,809280
0.0,413533
0.0,183013
0.0,340179
0.0,59693
0.0,3309245
0.0,483048
1.0,2802421
0.0,1613868
0.0,4079748
0.5,350120
0.0,2567122
0.5,12275547
0.0,1274698
0.0,1074185
0.0,1973819
0.0,7844189
0.0,264530
0.0,2461453
0.5,1596332
1.0,1695952
0.0,1127320
0.0,247330
0.0,861229
0.0,1141824
0.0,2674636
0.0,997721
0.0,369084
0.5,2227842
1.0,5910641
0.0,331085
0.5,2962839
1.0,677427
0.5,1999044
0.0,511700
0.0,3665755
1.0,952462
0.0,321416
1.0,200693
1.0,155140
0.0,3546434
1.0,890396
0.5,10859118
0.0,291646
0.5,2315628
0.0,3605019
0.0,1593590
1.0,985066
0.0,329216
0.5,810761
0.0,1150604
0.0,3469175
0.0,830707
0.5,342356
0.3333333333333333,953523
0.0,443212
0.0,631496
1.0,668844
0.5,4986383
0.5,3026260
1.0,1405609
0.0,1663714
0.5,515424
0.0,416192
0.0,165817
0.0,2170900
0.0,160429
0.0,195191
0.0,831172
0.5,16459201
0.0,124502
0.0,670016
0.5,444449
0.0,200333
0.0,159535
0.0,341647
0.0,1112782
0.0,2567155
0.5,806240
0.0,7789852
0.0,246955
0.0,188311904
0.0,347910
0.5,32980572
0.5,1110558
0.0,3389988
0.5,69122282
0.0,3635544
0.0,431706
0.0,1880700
0.0,599370
0.0,316887
0.0,262963
0.5,7740251
0.5,10108031
0.0,431071
0.0,237717
0.0,1358821
0.5,2892746
0.3333333333333333,373765
0.5,1853179
0.5,10463866
0.5,216906
0.0,758574
0.0,374154
1.0,6744668
0.0,14642671
0.5,3066798
0.0,3008796
1.0,6311352
0.5,12347582
1.0,3570109
0.5,206743927
0.5,11973902
0.0,4244757
0.0,3326204
0.5,10573101
0.5,8106641
1.0,6748511
0.0,9457058
0.5,13549725
0.5,11687462
0.5,4646792
0.5,10505347
0.5,14261047
0.0,993281
0.3333333333333333,6222677
0.5,1970210
0.5,105600528
0.5,843556
0.5,17611889
0.5,6714588
0.0,59451368
0.0,848337
0.0,1570747
0.5,1317541
0.0,22737597
0.0,3698894
0.0,9197892
0.5,1755640
0.5,12339039
0.0,9136611
0.0,6144548
0.0,5284544
0.5,4603597
0.0,3626575
0.3333333333333333,4377539
0.5,4421000
0.5,26724330
0.5,3984433
0.0,1918907
0.5,19430495
0.0,2592556
0.5,1743678
0.0,10814126
0.0,1830065
0.5,658401
0.0,798095
0.0,2666529
0.5,959300
1.0,3322263
0.5,2314770
0.0,2873137
0.5,4234474
0.0,1826724
0.0,4042412
0.5,2319078
1.0,1860246
0.0,650270
1.0,2051636
1.0,593618
0.0,1206336
0.0,7191119
0.3333333333333333,8088927
0.5,2468640
0.0,1648875
1.0,1297630
0.0,2698793
0.0,1513699
0.6666666666666666,3721182
0.5,3815260
0.5,8405277
0.0,1037797
0.0,3190134
0.5,4471926
0.0,446263
0.5,6545423
0.5,10758911
0.0,516338
0.0,591353
0.0,1112131
0.5,5870625
0.0,458268
0.0,1075723
0.5,4321362
0.0,2144648
1.0,1130494
0.6666666666666666,491867
0.5,3370974
0.5,741920
0.5,1251564
0.0,162792
0.5,2980047
